지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,1931-01-01 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1931-01-01 02:00,-3.3,,1.3,140,53,,,,,,,,,,,,,,,,,,,,
108,1931-01-01 03:00,,,,,,,,,,,,,,,,,,,,,,,-1.2,-.1,.8
108,1931-01-01 06:00,-.7,,2.2,140,37,2.1,,1024.4,1027.6,,,,,10,,,,,,,-1.1,,,,
108,1931-01-01 09:00,,,,,,,,,,,,,,,,,,,,,,,-.5,.1,.8
108,1931-01-01 10:00,-1,,3.2,70,93,,,,,,,,,,,,,,,,,,,,
108,1931-01-01 12:00,,,,,,,,,,0,,,,,,,,,,,,,,,
108,1931-01-01 13:00,,,,,,,,,,0,,,,,,,,,,,,,,,
108,1931-01-01 14:00,.5,,1.6,50,86,5.5,,1017.4,1020.4,,,,,10,,,,,,,.5,,,,
108,1931-01-01 15:00,,,,,,,,,,,,,,,,,,,,,,,-.3,.1,.8
108,1931-01-01 18:00,.2,,.4,0,93,,,,,,,,,,,,,,,,,,,,
108,1931-01-01 22:00,-.8,,.8,50,93,5.3,,1014.9,1017.9,,,,,10,,,,,,,.4,,,,
108,1931-01-02 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1931-01-02 02:00,-2,,.1,0,92,,,,,,,,,,,,,,,,,,,,
108,1931-01-02 03:00,,,,,,,,,,,,,,,,,,,,,,,-.3,.2,.8
108,1931-01-02 06:00,-1.6,,.6,320,90,4.9,,1014.7,1017.8,,,,,10,,,,,,,.2,,,,
108,1931-01-02 09:00,,,,,,,,,,,,,,,,,,,,,,,-.2,.2,.9
108,1931-01-02 10:00,-.2,,.8,360,85,,,,,,,,,,,,,,,,,,,,
108,1931-01-02 12:00,,,,,,,,,,0,,,,,,,,,,,,,,,
108,1931-01-02 13:00,,,,,,,,,,0,,,,,,,,,,,,,,,
