지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,1928-01-01 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1928-01-01 02:00,-18.4,,1.1,70,87,,,,,,,,,,,,,,,,,,,,
108,1928-01-01 03:00,,,,,,,,,,,,,,,,,,,,,,-7.1,-7.1,-3.7,-3.1
108,1928-01-01 06:00,-18.5,,.7,90,87,1.2,,1019.1,1022.6,,,,,0,,,,,,,-12.3,,,,
108,1928-01-01 09:00,,,,,,,,,,.3,,,,,,,,,,,,-4.9,-4.9,-3.3,-2.6
108,1928-01-01 10:00,-12.7,,2,110,83,,,,,.3,,,,,,,,,,,,,,,
108,1928-01-01 11:00,,,,,,,,,,.5,,,,,,,,,,,,,,,
108,1928-01-01 12:00,,,,,,,,,,.4,,,,,,,,,,,,,,,
108,1928-01-01 13:00,,,,,,,,,,.3,,,,,,,,,,,,,,,
108,1928-01-01 14:00,-5.6,,1.6,70,60,2.4,,1015.1,1018.3,.3,,,,10,,,,,,,-1.7,,,,
108,1928-01-01 15:00,,,,,,,,,,,,,,,,,,,,,,-3.6,-3.6,-2.1,-1.7
108,1928-01-01 18:00,-6.2,,1.6,70,87,,,,,,,,,,,,,,,,,,,,
108,1928-01-01 22:00,-6.4,,.6,90,94,3.6,,1012.7,1015.9,,,,,10,,,,,,,-4.4,,,,
108,1928-01-02 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1928-01-02 02:00,-6.4,,1,50,87,,,,,,,,,,,,,,,,,,,,
108,1928-01-02 03:00,,,,,,,,,,,,,,,,,,,,,,-3.4,-3.4,-2,-1.7
108,1928-01-02 06:00,-7.2,,5.2,290,51,1.9,,1014.6,1017.8,,,,,0,,,,,,,-5.7,,,,
108,1928-01-02 08:00,,,,,,,,,,.4,,,,,,,,,,,,,,,
108,1928-01-02 09:00,,,,,,,,,,1,,,,,,,,,,,,-3.6,-3.6,-2,-1.6
