지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,1923-01-01 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1923-01-01 02:00,-12.5,,4.2,290,38,,,,,,,,,,,,,,,,,,,,
108,1923-01-01 03:00,,,,,,,,,,,,,,,,,,,,,,-8.5,,,
108,1923-01-01 06:00,-14.3,,5.5,290,37,.8,,1026.8,,,,,,0,,,,,,,-11.9,,,,
108,1923-01-01 09:00,,,,,,,,,,.4,,,,,,,,,,,,-.6,-8.5,-4,-.6
108,1923-01-01 10:00,-14.7,,5.3,320,36,,,,,1,,,,,,,,,,,,,,,
108,1923-01-01 11:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-01 12:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-01 13:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-01 14:00,-13.9,,9.3,290,34,.7,,1026.8,,1,,,,0,,,,,,,-3,,,,
108,1923-01-01 15:00,,,,,,,,,,1,,,,,,,,,,,,5.5,,,
108,1923-01-01 16:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-01 17:00,,,,,,,,,,.9,,,,,,,,,,,,,,,
108,1923-01-01 18:00,-16.3,,5,320,38,,,,,,,,,,,,,,,,,,,,
108,1923-01-01 22:00,-17.7,,3.5,290,49,.7,,1031.2,,,,,,0,,,,,,,-13.3,,,,
108,1923-01-02 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1923-01-02 02:00,-18.2,,1.4,290,50,,,,,,,,,,,,,,,,,,,,
108,1923-01-02 03:00,,,,,,,,,,,,,,,,,,,,,,-11,,,
108,1923-01-02 06:00,-19.7,,1,290,54,.7,,1031.6,,,,,,0,,,,,,,-15.3,,,,
108,1923-01-02 09:00,,,,,,,,,,.6,,,,,,,,,,,,-2.2,-11,-6.9,-2.2
108,1923-01-02 10:00,-17.5,,1.9,70,55,,,,,1,,,,,,,,,,,,,,,
108,1923-01-02 11:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-02 12:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-02 13:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-02 14:00,-13.5,,3.9,250,44,.9,,1032.4,,1,,,,0,,,,,,,-3.3,,,,
108,1923-01-02 15:00,,,,,,,,,,1,,,,,,,,,,,,5.4,,,
108,1923-01-02 16:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-02 17:00,,,,,,,,,,.9,,,,,,,,,,,,,,,
108,1923-01-02 18:00,-13.6,,1.9,250,52,,,,,,,,,,,,,,,,,,,,
108,1923-01-02 22:00,-15.1,,.6,270,66,1.2,,1032.3,,,,,,0,,,,,,,-12.8,,,,
108,1923-01-03 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1923-01-03 02:00,-15.1,,.1,0,75,,,,,,,,,,,,,,,,,,,,
108,1923-01-03 03:00,,,,,,,,,,,,,,,,,,,,,,-11.2,,,
108,1923-01-03 06:00,-16.5,,.5,270,75,1.3,,1030.3,,,,,,0,,,,,,,-14.8,,,,
108,1923-01-03 09:00,,,,,,,,,,,,,,,,,,,,,,-3.4,-11.2,-7.5,-3.4
108,1923-01-03 10:00,-14,,1.2,290,72,,,,,.5,,,,,,,,,,,,,,,
108,1923-01-03 11:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-03 12:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-03 13:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-03 14:00,-8.2,,2.6,140,34,1.1,,1028.7,,1,,,,0,,,,,,,-1.4,,,,
108,1923-01-03 15:00,,,,,,,,,,1,,,,,,,,,,,,5.2,,,
108,1923-01-03 16:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-03 17:00,,,,,,,,,,.4,,,,,,,,,,,,,,,
108,1923-01-03 18:00,-9.4,,.3,0,46,,,,,,,,,,,,,,,,,,,,
108,1923-01-03 22:00,-11.8,,.4,0,60,1.5,,1028,,,,,,10,,,,,,,-9.9,,,,
108,1923-01-04 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
108,1923-01-04 02:00,-12.3,,.6,50,69,,,,,,,,,,,,,,,,,,,,
108,1923-01-04 03:00,,,,,,,,,,,,,,,,,,,,,,-8.9,,,
108,1923-01-04 06:00,-13.7,,.2,0,69,1.5,,1028.4,,,,,,0,,,,,,,-11.4,,,,
108,1923-01-04 09:00,,,,,,,,,,,,,,,,,,,,,,-3.2,-8.9,-6.6,-3.2
108,1923-01-04 10:00,-9.4,,1,90,65,,,,,.9,,,,,,,,,,,,,,,
108,1923-01-04 11:00,,,,,,,,,,1,,,,,,,,,,,,,,,
108,1923-01-04 12:00,,,,,,,,,,1,,,,,,,,,,,,,,,
